Akan,aka
Albanian,sqi
Amharic,amh
Arabic,ara
Armenian,hye
Assyrian Neo-Aramaic,aii
Azerbaijani,aze
Bashkir,bak
Bengali,ben
Bosnian,bos
Bulgarian,bul
Burmese,mya
Catalan,cat
Chinese,zho
Croatian,hrv
Czech,ces
Danish,dan
Dutch,nld
English,eng
Estonian,est
Faroese,fao
Finnish,fin
French,fra
Galician,glg
Georgian,kat
German,deu
Hebrew,heb
Hindi,hin
Hungarian,hun
Icelandic,isl
Indonesian,ind
Inuktitut,iku
Italian,ita
Japanese,jpn
Javanese,jav
Kannada,kan
Kazakh,kaz
Khmer,khm
Kinyarwanda,kin
Korean,kor
Kurdish,kur
Lao,lao
Latvian,lav
Lithuanian,lit
Luxembourgish,ltz
Macedonian,mkd
Malay,msa
